origin,dest,count
1,19,84.713833
2,19,78.292102
3,19,81.228118
4,19,39.315320
5,19,70.500425
6,19,97.768264
7,19,99.085644
8,19,87.188332
9,19,86.905960
10,19,60.345914
11,19,63.274024
12,19,106.908199
13,19,69.480321
14,19,58.338139
15,19,119.529719
16,19,88.949870
17,19,134.775074
18,19,530.375006
19,1,359.335790
19,2,7.085494
19,3,999.922328
19,4,58.088660
19,5,242.869266
19,6,63.067098
19,7,123.076898
19,8,412.652586
19,9,309.365495
19,10,35.902593
19,11,65.917821
19,12,1223.146389
19,13,51.065138
19,14,5.784077
19,15,278.090164
19,16,86.203406
19,17,23.218938
19,18,130.348309
19,20,31.667822
20,19,156.611241
