COD_REG,regione,popolazione,individiduiDinamiciEntrata,individiduiDinamiciEntrataOgniCento
1,Piemonte,4273210,205189,5
2,Valle d'Aosta,123895,9101,7
3,Lombardia,9966992,594094,6
4,Trentino-Alto Adige,1078460,59044,5
5,Veneto,4852453,198458,4
6,Friuli Venezia Giulia,1198753,56864,5
7,Liguria,1509805,86824,6
8,Emilia-Romagna,4445549,273562,6
9,Toscana,3668333,174108,5
10,Umbria,865013,37598,4
11,Marche,1501406,64817,4
12,Lazio,5720796,646191,11
13,Abruzzo,1285256,65508,5
14,Molise,296547,17483,6
15,Campania,5679759,153947,3
16,Puglia,3926931,69083,2
17,Basilicata,547579,31010,6
18,Calabria,1877728,36458,2
19,Sicilia,4840876,57526,1
20,Sardegna,1598225,14485,1
