origine,destinazione,valore,check
Piemonte,Piemonte,2224452,1
Piemonte,Valle d'Aosta,4399,0
Piemonte,Lombardia,105440,0
Piemonte,Trentino-Alto Adige,2429,0
Piemonte,Veneto,10278,0
Piemonte,Friuli Venezia Giulia,1944,0
Piemonte,Liguria,17701,0
Piemonte,Emilia-Romagna,11074,0
Piemonte,Toscana,9014,0
Piemonte,Umbria,728,0
Piemonte,Marche,1507,0
Piemonte,Lazio,31264,0
Piemonte,Abruzzo,1829,0
Piemonte,Molise,433,0
Piemonte,Campania,7741,0
Piemonte,Puglia,3545,0
Piemonte,Basilicata,642,0
Piemonte,Calabria,1520,0
Piemonte,Sicilia,3620,0
Piemonte,Sardegna,1154,0
Valle d'Aosta,Piemonte,4272,0
Valle d'Aosta,Valle d'Aosta,50996,1
Valle d'Aosta,Lombardia,2001,0
Valle d'Aosta,Trentino-Alto Adige,67,0
Valle d'Aosta,Veneto,285,0
Valle d'Aosta,Friuli Venezia Giulia,62,0
Valle d'Aosta,Liguria,326,0
Valle d'Aosta,Emilia-Romagna,272,0
Valle d'Aosta,Toscana,255,0
Valle d'Aosta,Umbria,19,0
Valle d'Aosta,Marche,34,0
Valle d'Aosta,Lazio,1309,0
Valle d'Aosta,Abruzzo,47,0
Valle d'Aosta,Molise,5,0
Valle d'Aosta,Campania,154,0
Valle d'Aosta,Puglia,60,0
Valle d'Aosta,Basilicata,21,0
Valle d'Aosta,Calabria,97,0
Valle d'Aosta,Sicilia,97,0
Valle d'Aosta,Sardegna,65,0
Lombardia,Piemonte,59169,0
Lombardia,Valle d'Aosta,1115,0
Lombardia,Lombardia,5563236,1
Lombardia,Trentino-Alto Adige,9914,0
Lombardia,Veneto,47105,0
Lombardia,Friuli Venezia Giulia,6127,0
Lombardia,Liguria,14972,0
Lombardia,Emilia-Romagna,62013,0
Lombardia,Toscana,20410,0
Lombardia,Umbria,2102,0
Lombardia,Marche,4549,0
Lombardia,Lazio,71200,0
Lombardia,Abruzzo,4178,0
Lombardia,Molise,385,0
Lombardia,Campania,15935,0
Lombardia,Puglia,8629,0
Lombardia,Basilicata,1526,0
Lombardia,Calabria,4197,0
Lombardia,Sicilia,8096,0
Lombardia,Sardegna,2631,0
Trentino-Alto Adige,Piemonte,1258,0
Trentino-Alto Adige,Valle d'Aosta,68,0
Trentino-Alto Adige,Lombardia,9674,0
Trentino-Alto Adige,Trentino-Alto Adige,610490,1
Trentino-Alto Adige,Veneto,10576,0
Trentino-Alto Adige,Friuli Venezia Giulia,770,0
Trentino-Alto Adige,Liguria,542,0
Trentino-Alto Adige,Emilia-Romagna,3784,0
Trentino-Alto Adige,Toscana,1473,0
Trentino-Alto Adige,Umbria,159,0
Trentino-Alto Adige,Marche,336,0
Trentino-Alto Adige,Lazio,7600,0
