Regione di origine,Piemonte,Valle d'Aosta,Lombardia,Trentino A.A.,Veneto,Fiuli V.G.,Liguria,Emilia Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
Piemonte,2224452,4399,105440,2429,10278,1944,17701,11074,9014,728,1507,31264,1829,433,7741,3545,642,1520,3620,1154
Valle d'Aosta,4272,50996,2001,67,285,62,326,272,255,19,34,1309,47,5,154,60,21,97,97,65
Lombardia,59169,1115,5563236,9914,47105,6127,14972,62013,20410,2102,4549,71200,4178,385,15935,8629,1526,4197,8096,2631
Trentino A.A.,1258,68,9674,610490,10576,770,542,3784,1473,159,336,7600,262,25,953,602,149,273,424,133
Veneto,11194,404,64653,17942,2733204,29520,3504,34558,9472,1040,2332,34483,1763,177,7357,3758,797,6325,3421,903
Fiuli V.G.,3603,66,12234,2068,32357,612591,1429,4271,2681,223,766,19198,434,43,3421,1142,238,422,1172,332
Liguria,19671,283,24700,955,3418,1104,735342,5261,14559,305,931,16723,408,47,3922,1420,135,467,1496,637
Emilia Romagna,12587,230,74880,4527,21608,2670,4510,2487191,14781,1507,12181,33268,2654,382,10712,5521,838,1914,3876,897
Toscana,7879,201,36049,2319,8631,1350,14219,19907,2001865,7594,2247,45178,1681,293,9530,3054,613,1530,3188,1122
Umbria,1762,39,6487,487,2004,272,534,3944,11279,432905,3946,23196,1147,80,2085,553,151,301,522,213
Marche,3686,95,13004,1151,4192,1052,1077,21037,4816,3343,812705,15443,9867,216,3138,1765,175,355,950,237
Lazio,12173,229,56016,3600,12189,2156,5727,13845,18959,10220,4322,2983763,14257,1610,27981,7029,1448,3945,6116,1803
Abruzzo,5161,79,13122,961,3255,607,1272,9092,4179,1492,14949,32074,616718,2879,5299,2473,455,423,893,293
Molise,1059,29,2520,226,716,125,249,2486,1231,316,1093,7390,7989,122425,4859,1530,237,125,173,53
Campania,13992,315,41903,2298,10602,2185,5895,18802,19003,2630,3404,104602,5487,6723,2604463,8368,5818,3485,6789,1053
Puglia,13683,306,37042,3898,8647,1876,3294,22687,9759,1411,5632,73692,7326,3445,15839,1806791,13109,2466,3493,868
Basilicata,3385,68,6845,605,1599,345,713,4881,3461,599,852,9618,1316,148,7452,9889,239044,1802,738,137
Calabria,7664,325,22807,1085,4934,776,2326,10095,8340,1397,1460,33774,1682,202,9960,4403,3255,734365,9959,421
Sicilia,17395,343,48405,2812,11757,3053,5958,19976,14976,1738,3191,59211,2472,280,13462,4173,1124,6310,2045886,1533
Sardegna,5596,507,16312,1700,4305,870,2576,5577,5460,775,1085,26968,709,110,4147,1169,279,501,2503,583265
