COD_REG,DEN_REG,cx,cy
1,Piemonte,7.8355098493134765,44.97610332170501
2,Valle d'Aosta,7.330446346788996,45.71503071505894
3,Lombardia,9.746766068732637,45.71515650225642
4,Trentino-Alto Adige,11.266146124148461,46.402741230257035
5,Veneto,11.837605313309698,45.486540160483024
6,Friuli Venezia Giulia,12.998717719959865,46.221350180986974
7,Liguria,9.260627278016662,44.46733186144853
8,Emilia-Romagna,11.064403998007288,44.52572667525148
9,Toscana,11.136117947664903,43.453991507078044
10,Umbria,12.479739348775212,42.96205718598627
11,Marche,13.222789835192687,43.2832881798039
12,Lazio,12.659029730202251,41.9504365551312
13,Abruzzo,13.841511676129883,42.23016424223724
14,Molise,14.705648753163622,41.66466353796668
15,Campania,14.828570806508253,41.03419850393011
16,Puglia,16.470571237708114,40.99482444661405
17,Basilicata,16.133838912924787,40.44150222611225
18,Calabria,16.47786457054275,39.23856906286873
19,Sicilia,14.154952775828741,37.5602729609036
20,Sardegna,9.090170403661718,40.05539379152876
